|ＡＮＡＳ|はこの区間をここ３０年間で徐々にアップグレードさせている。	{"comment": "", "curid": 1225116, "id": 844600, "match_segment_pos": "UNK", "match_segment_surf": "ＡＮＡＳ", "query": "ＡＮＡ", "type": "OK"}
この期間、マルタの巨石神殿群やストーンヘンジなどの巨石遺跡が西|または|南ヨーロッパで建設された。	{"comment": "", "curid": 32, "id": 1185599, "match_segment_pos": "助詞", "match_segment_surf": "または", "query": "また", "type": "OK"}
この期間に導入された紙巻|たばこ|それぞれ|の新ブランドは他にはない利点を宣伝した。	{"comment": "", "curid": 2569085, "id": 1185769, "match_segment_pos": "名詞--副詞", "match_segment_surf": "たばこ--それぞれ", "query": "こそ", "type": "OK"}
この項目では、|しかべ|間歇泉公園についても記載している。	{"comment": "", "curid": 1820803, "id": 1248485, "match_segment_pos": "動詞--名詞", "match_segment_surf": "し--かべ", "query": "しか", "type": "NG_SEG"}
この頃|またいとこ|の楊国忠の来訪を受け、屋敷に泊まらせ、玄宗に推薦した。	{"comment": "本質的に曖昧", "curid": 1590595, "id": 1247420, "match_segment_pos": "名詞", "match_segment_surf": "またいとこ", "query": "また", "type": "OK"}
この三虜が心を合わせている限り、|いささか|も|その方策に手抜かりはないでしょう。	{"comment": "", "curid": 2697034, "id": 1093108, "match_segment_pos": "副詞--助詞", "match_segment_surf": "いささか--も", "query": "かも", "type": "OK"}
この時には８月１３日との計２回|しか|観測が行われず、すぐに行方不明となった。	{"comment": "", "curid": 2907856, "id": 1173610, "match_segment_pos": "助詞", "match_segment_surf": "しか", "query": "しか", "type": "OK"}
この芝居にはスコットランドやスコットランド人に対する|からかい|が見受けられる。	{"comment": "", "curid": 1576401, "id": 1217282, "match_segment_pos": "助詞", "match_segment_surf": "かい", "query": "かい", "type": "NG_SEG"}
この種は何通りもの|さえずり|のパターンを持っている。	{"comment": "", "curid": 80323, "id": 1208387, "match_segment_pos": "名詞", "match_segment_surf": "さえずり", "query": "さえ", "type": "OK"}
この親子|ほど|も|年の違う二人の愛は、やがて一大スキャンダルへと発展していく。	{"comment": "", "curid": 2921962, "id": 1220968, "match_segment_pos": "接尾辞--助詞", "match_segment_surf": "ほど--も", "query": "ども", "type": "OK"}
この人形は|しかしながら|いくつかの批評も受けた。	{"comment": "", "curid": 3185024, "id": 1100466, "match_segment_pos": "接続詞", "match_segment_surf": "しかしながら", "query": "ながら", "type": "OK"}
この人事委員会の勧告と、給与条例の改正案は、人事院の給与勧告に|ならう|ことが多い。	{"comment": "", "curid": 121340, "id": 1100272, "match_segment_pos": "動詞", "match_segment_surf": "ならう", "query": "なら", "type": "OK"}
この地で健康を取り戻すと、すぐれた教師たちのもとで素晴らしい楽才を磨いて|いった|らしい|。	{"comment": "", "curid": 511495, "id": 1125268, "match_segment_pos": "接尾辞--助動詞", "match_segment_surf": "いった--らしい", "query": "ったら", "type": "OK"}
この地域は、|しかし|古代には定住者の疎らな土地であった。	{"comment": "", "curid": 2213675, "id": 1127326, "match_segment_pos": "接続詞", "match_segment_surf": "しかし", "query": "しか", "type": "OK"}
この中には|おもいッきり|テレビの２代目アシスタントを務めた高橋佳代子からのメッセージもあった。	{"comment": "", "curid": 1113154, "id": 1094797, "match_segment_pos": "名詞", "match_segment_surf": "おもいッきり", "query": "きり", "type": "OK"}
この中にジプシー|らしから|ぬ雰囲気のパキータがいる。	{"comment": "", "curid": 1738716, "id": 1094998, "match_segment_pos": "助動詞", "match_segment_surf": "らしから", "query": "しか", "type": "OK"}
この笛|なんか|、穴に煤がたまっておる。	{"comment": "", "curid": 1278374, "id": 1209597, "match_segment_pos": "助詞", "match_segment_surf": "なんか", "query": "なんか", "type": "OK"}
この内戦は新しいアイルランドに悲劇|しか|もたらさ|なかった。	{"comment": "", "curid": 435381, "id": 1113209, "match_segment_pos": "助詞--動詞", "match_segment_surf": "しか--もたらさ", "query": "かも", "type": "OK"}
この浮力の問題は、|ばねばかり|でも同様である。	{"comment": "", "curid": 737539, "id": 1194663, "match_segment_pos": "名詞", "match_segment_surf": "ばねばかり", "query": "ばかり", "type": "OK"}
この分野、|ないし|その流れを比較発生学といい、１９世紀に成立し、比較解剖学と併せて比較形態学と呼ばれた。	{"comment": "", "curid": 49282, "id": 1114643, "match_segment_pos": "形容詞--名詞", "match_segment_surf": "ない--しそ", "query": "ないし", "type": "NG_SEG"}
この文字が表す音素は、|ないし|その類似音である。	{"comment": "", "curid": 13654, "id": 1165477, "match_segment_pos": "形容詞--名詞", "match_segment_surf": "ない--しそ", "query": "ないし", "type": "NG_SEG"}
この方法論は、チームが自発的に組織|だって|行動することを可能にする。	{"comment": "", "curid": 1015199, "id": 1167644, "match_segment_pos": "助詞", "match_segment_surf": "だって", "query": "だって", "type": "OK"}
この略暦を大小|または|大小暦といい、絵入りになったものを絵暦といった。	{"comment": "", "curid": 2482304, "id": 1202996, "match_segment_pos": "名詞", "match_segment_surf": "小また", "query": "また", "type": "NG_SEG"}
この炉の原型炉は建設されているが、|しかしながら|、同様の炉を他所にも建設する前に計画中止になっている。	{"comment": "", "curid": 2331283, "id": 1196521, "match_segment_pos": "接続詞", "match_segment_surf": "しかしながら", "query": "ながら", "type": "OK"}
この冤罪事件は大変な物議を|かもし|、司法の大きな失態と認められている。	{"comment": "", "curid": 272116, "id": 1113691, "match_segment_pos": "動詞", "match_segment_surf": "かもし", "query": "かも", "type": "OK"}
これ|じゃ|面白いわけがない。	{"comment": "", "curid": 427555, "id": 1259854, "match_segment_pos": "助詞", "match_segment_surf": "じゃ", "query": "じゃ", "type": "OK"}
これが２００１年の新宿コマ劇場|および|梅田コマ劇場での芝居出演の下地にもなっていた。	{"comment": "", "curid": 287137, "id": 1251577, "match_segment_pos": "助詞", "match_segment_surf": "および", "query": "および", "type": "OK"}
これが自然科学|なら|問題ない。	{"comment": "", "curid": 2602, "id": 1259000, "match_segment_pos": "助詞", "match_segment_surf": "なら", "query": "なら", "type": "OK"}
これが失敗する|なら|、それは私がこれを台無しにしたからだ。	{"comment": "", "curid": 3151346, "id": 1255956, "match_segment_pos": "助詞", "match_segment_surf": "なら", "query": "なら", "type": "OK"}
これに影響されて、皆は家で何|か|もっと|すごいものを考えだすようになった。	{"comment": "", "curid": 194954, "id": 1284569, "match_segment_pos": "助詞--副詞", "match_segment_surf": "か--もっと", "query": "かも", "type": "OK"}
これに基づき被保険者に|ねんきん|定期便が送付されている。	{"comment": "", "curid": 30249, "id": 1281079, "match_segment_pos": "名詞", "match_segment_surf": "ねんきん", "query": "ねん", "type": "OK"}
これに対して餌となる物体をまず体内の|しかるべき|所に取り入れ、そこで消化をおこなうものを体内消化という。	{"comment": "", "curid": 24372, "id": 1283576, "match_segment_pos": "連体詞", "match_segment_surf": "しかるべき", "query": "しか", "type": "OK"}
これは、パンジーのうち紫の花弁の色をさすが、一般的な菫色よりもさらに暗く|さえた|色である。	{"comment": "", "curid": 1434342, "id": 1291000, "match_segment_pos": "接尾辞--接尾辞", "match_segment_surf": "さ--えた", "query": "さえ", "type": "NG_SEG"}
これは、植物体表面を寒気から遮断することや、強い|日差し|から|本体を守る役割があると見られる。	{"comment": "", "curid": 218436, "id": 1295038, "match_segment_pos": "名詞--助詞", "match_segment_surf": "日差し--から", "query": "しか", "type": "OK"}
これは、未発見の言語や、消滅し|つつ|ある言語があるためだけではなく、原理的な困難があるためでもある。	{"comment": "", "curid": 10, "id": 1294884, "match_segment_pos": "助詞", "match_segment_surf": "つつ", "query": "つつ　", "type": "OK"}
これは女の子と言え|ども|例外ではない。	{"comment": "", "curid": 495695, "id": 1311178, "match_segment_pos": "助詞", "match_segment_surf": "ども", "query": "ども", "type": "OK"}
これは隊|規模|か|もっと|大きな規模でのキャンプかハイキング、セーリングやほかの旅行であることがある。	{"comment": "", "curid": 1160753, "id": 1322953, "match_segment_pos": "副詞", "match_segment_surf": "かもっと", "query": "かも", "type": "NG_SEG"}
これより降伏するもの相次ぎ、精鋭|のみ|１，０００名程が残った。	{"comment": "", "curid": 24005, "id": 1327623, "match_segment_pos": "形容詞--接頭辞", "match_segment_surf": "精鋭の--み", "query": "のみ", "type": "NG_SEG"}
これら|の|みだれた|行いを諫めた賢臣・関竜逢を桀は殺した。	{"comment": "", "curid": 854126, "id": 1330441, "match_segment_pos": "助詞--動詞", "match_segment_surf": "の--みだれた", "query": "のみ", "type": "OK"}
これらの軍事産業は統合思想に異を唱える世界各地の反体制勢力に兵器を供与し、|陰ながら|武装蜂起を支援した。	{"comment": "", "curid": 723184, "id": 1344090, "match_segment_pos": "副詞", "match_segment_surf": "陰ながら", "query": "ながら", "type": "OK"}
これらの潜在的な遺伝子のうちのほんの|わずか|だけ|が|機能する嗅覚受容体を形成する。	{"comment": "", "curid": 348243, "id": 1340219, "match_segment_pos": "形容詞--名詞", "match_segment_surf": "わずかだ--けが", "query": "だけ", "type": "NG_SEG"}
これらの掃海部隊は、終戦後の海軍解体の渦中で組織体制が変遷する|さなか|も|任務を継続することになった。	{"comment": "", "curid": 378861, "id": 1337825, "match_segment_pos": "名詞--助詞", "match_segment_surf": "さなか--も", "query": "かも", "type": "OK"}
これらはタンザー法、ブレンド法|など|もしくは|一部を改良しているのがほとんどである。	{"comment": "", "curid": 1574383, "id": 1347293, "match_segment_pos": "助詞--助詞", "match_segment_surf": "など--もしくは", "query": "ども", "type": "OK"}
これを行なう|だけ|でも、感染率が減る。	{"comment": "", "curid": 329, "id": 1361948, "match_segment_pos": "助詞", "match_segment_surf": "だけ", "query": "だけ", "type": "OK"}
これを背景にし、好きな芝居が|思いっきり|出来るというわけ。	{"comment": "", "curid": 1690275, "id": 1361806, "match_segment_pos": "副詞", "match_segment_surf": "思いっきり", "query": "きり", "type": "OK"}
これ等の確執から、生涯二人は互いに謝り合う事も許し合う事も出来ず、不仲な|まま|であったという。	{"comment": "", "curid": 644028, "id": 1366182, "match_segment_pos": "名詞--助詞", "match_segment_surf": "なま--まで", "query": "まま", "type": "NG_SEG"}
こんなに心を解放する人の気持ちが温かい大阪を退けて東京に入るアホがどこに|おん|ねん|。	{"comment": "方言", "curid": 382922, "id": 1366292, "match_segment_pos": "名詞", "match_segment_surf": "おんねん", "query": "ねん", "type": "NG_SEG"}
こんな事故が起こったことは|残念だ|けど|、これも人生の一部、これが現実なんだ。	{"comment": "", "curid": 1747486, "id": 1366328, "match_segment_pos": "形容詞--助詞", "match_segment_surf": "残念だ--けど", "query": "だけ", "type": "OK"}
ごく|普通の|みかん|に手足と顔が描かれている。	{"comment": "", "curid": 987603, "id": 1366767, "match_segment_pos": "形容詞--名詞", "match_segment_surf": "普通の--みかん", "query": "のみ", "type": "OK"}
さうすると|いつの間にか|いつも|通つて知つてゐる路のとこにさ出てゐましたつけ。	{"comment": "", "curid": 613105, "id": 1367521, "match_segment_pos": "副詞--副詞", "match_segment_surf": "いつの間にか--いつも", "query": "かい", "type": "OK"}
さらに、２００７年現在も広告に使われている|大また|で歩く人の絵も作られた。	{"comment": "", "curid": 789335, "id": 1372440, "match_segment_pos": "名詞", "match_segment_surf": "大また", "query": "また", "type": "OK"}
さらに、その|また|下の弟でパッサウ司教になる予定だったコンラトも領地の分割相続を求めてきた。	{"comment": "", "curid": 1925899, "id": 1373321, "match_segment_pos": "名詞", "match_segment_surf": "また下", "query": "また", "type": "NG_SEG"}
さらに、ループ量子重力の物理が弱い意味での背景独立で|しか|ない。	{"comment": "", "curid": 2690218, "id": 1374865, "match_segment_pos": "助詞", "match_segment_surf": "しか", "query": "しか", "type": "OK"}
さらに、加藤は心の|よりどころ|としていた携帯サイトの電子掲示板で千回を超える書き込みをおこなっていた。	{"comment": "", "curid": 1581631, "id": 1375647, "match_segment_pos": "名詞", "match_segment_surf": "よりどころ", "query": "どころ", "type": "OK"}
さらに、放射線による二次|発がん|も|懸念される。	{"comment": "", "curid": 152802, "id": 1376932, "match_segment_pos": "名詞--助詞", "match_segment_surf": "発がん--も", "query": "がんも", "type": "OK"}
さらに２０１２年にソニックの|ねんどろいど|が発売。	{"comment": "", "curid": 43314, "id": 1370910, "match_segment_pos": "名詞", "match_segment_surf": "ねんどろいど", "query": "ねん", "type": "OK"}
しかし、こうした心痛む出来事がまだ十分でないと|いわんばかり|にさらなる苦悩が続く。	{"comment": "", "curid": 3543993, "id": 1405846, "match_segment_pos": "副詞", "match_segment_surf": "いわんばかり", "query": "ばかり", "type": "OK"}
しかし、その|けんか|も|長くは続かず、マネの死後ドガはその作品を数多く購入している。	{"comment": "", "curid": 79467, "id": 1411065, "match_segment_pos": "名詞--助詞", "match_segment_surf": "けんか--も", "query": "かも", "type": "OK"}
しかし、それが新たに|台ばかり|の発明を呼んだ。	{"comment": "", "curid": 1370596, "id": 1413840, "match_segment_pos": "名詞", "match_segment_surf": "台ばかり", "query": "ばかり", "type": "OK"}
しかし、ついに現場を|取り押さえ|られてしまった親指トムは罰としてビンの中に閉じ込められる。	{"comment": "", "curid": 1202364, "id": 1414860, "match_segment_pos": "動詞", "match_segment_surf": "取り押さえ", "query": "さえ", "type": "OK"}
しかし、ウェブサイトの|適切な|あり|方についてガイドラインが示され自主的な取り組みを促している。	{"comment": "", "curid": 175820, "id": 1416967, "match_segment_pos": "形容詞--動詞", "match_segment_surf": "適切な--あり", "query": "なあ", "type": "OK"}
しかし、スピノザによれば、その本質に存在が属する実体は、ただ神|のみ|である。	{"comment": "", "curid": 82, "id": 1419532, "match_segment_pos": "助詞", "match_segment_surf": "のみ", "query": "のみ", "type": "OK"}
しかし、吉三郎は突然死んでしまい、寄席は多加が|きりもり|することになる。	{"comment": "", "curid": 881663, "id": 1430990, "match_segment_pos": "名詞", "match_segment_surf": "きりもり", "query": "きり", "type": "OK"}
しかし、参加・表明|こそ|して|いないがこの考えに近い議員もいる。	{"comment": "", "curid": 1453205, "id": 1430557, "match_segment_pos": "助詞--動詞", "match_segment_surf": "こそ--して", "query": "そして", "type": "OK"}
しかし、児玉が圧力をかけても、河本は|なかなか|いう|ことを聞かなかった。	{"comment": "", "curid": 80849, "id": 1428579, "match_segment_pos": "副詞--動詞", "match_segment_surf": "なかなか--いう", "query": "かい", "type": "OK"}
しかし、人気の上昇と共にローズの性格は次第に|わがまま|となっていった。	{"comment": "", "curid": 3257905, "id": 1426888, "match_segment_pos": "名詞", "match_segment_surf": "わがまま", "query": "まま", "type": "OK"}
しかし、欲情した康平の行為はそれだけにとどまらず、千帆の身体を|いやらしく|弄り始めてしまう。	{"comment": "", "curid": 3542237, "id": 1443238, "match_segment_pos": "形容詞", "match_segment_surf": "いやらしく", "query": "やら", "type": "OK"}
しかし１９９７年に菊千代は他界、赤塚自身|のみ|ならず周辺のファンをも悲しませた。	{"comment": "", "curid": 237, "id": 1396130, "match_segment_pos": "助詞", "match_segment_surf": "のみ", "query": "のみ", "type": "OK"}
しかし１９９８年３月に番組が終了すると、番組契約で|しかも|フリーで活動していたため、芸能活動は休業状態。	{"comment": "", "curid": 366134, "id": 1396135, "match_segment_pos": "助詞--助詞", "match_segment_surf": "しか--も", "query": "かも", "type": "NG_SEG"}
しかし８８２年に兄と同じく嫡子無き|まま|死去して弟のカール３世が遺領を継ぐことで東フランクは統一された。	{"comment": "", "curid": 225459, "id": 1398452, "match_segment_pos": "形容詞", "match_segment_surf": "きまま", "query": "まま", "type": "NG_SEG"}
しかしこの贋者、浪人|ども|の浅ましさに呆れて去っていく。	{"comment": "", "curid": 2704264, "id": 1457498, "match_segment_pos": "接尾辞", "match_segment_surf": "ども", "query": "ども", "type": "OK"}
しかし岡田の公宅は焼失したため、岡田と家族は|着のみ着のまま|となってしまった。	{"comment": "", "curid": 3393028, "id": 1485004, "match_segment_pos": "副詞", "match_segment_surf": "着のみ着のまま", "query": "まま", "type": "OK"}
しかし拒否される|やいなや|彼女はアダムを性的暴行で訴えた。	{"comment": "", "curid": 2196730, "id": 1488395, "match_segment_pos": "助詞", "match_segment_surf": "やいなや", "query": "やいなや", "type": "OK"}
しかし均等に加熱されていることで、食感は|ぼそぼそ|して|味つけも画一的に感じられ、これを好まない者もいる。	{"comment": "", "curid": 445341, "id": 1482383, "match_segment_pos": "副詞--動詞", "match_segment_surf": "ぼそぼそ--して", "query": "そして", "type": "OK"}
しかし今度は|ねねね|が読子に興味を持つ事に。	{"comment": "人名", "curid": 83474, "id": 1477751, "match_segment_pos": "助詞--助詞--助詞", "match_segment_surf": "ね--ね--ね", "query": "ねねね", "type": "NG_SEG"}
しかし市場ではその必要性が低かったため|か|いまひとつ|大きな普及へとは至っていない。	{"comment": "", "curid": 288603, "id": 1485212, "match_segment_pos": "助詞--副詞", "match_segment_surf": "か--いまひとつ", "query": "かい", "type": "OK"}
しかし初期の種ではくちばしを持たずに短い歯を持つ場合があり、|また|とさか|についてもある種とない種がある。	{"comment": "", "curid": 1658452, "id": 1479753, "match_segment_pos": "副詞", "match_segment_surf": "またと", "query": "また", "type": "NG_SEG"}
しかし大半は無銘で、慣習と記憶が薄れると|ただ|の|大きな石と区別がつかなくなる。	{"comment": "", "curid": 737374, "id": 1482878, "match_segment_pos": "副詞--助詞", "match_segment_surf": "ただ--の", "query": "だの", "type": "OK"}
しかし二人には亡くなった|はずの|みどり|の姿が見えるのであった。	{"comment": "", "curid": 3107706, "id": 1477374, "match_segment_pos": "助動詞--名詞", "match_segment_surf": "はずの--みどり", "query": "のみ", "type": "OK"}
しかし苡子の兄公実は鳥羽天皇の外戚に、|また姪|の璋子は鳥羽天皇の中宮となるなど、閑院流発展の元となった。	{"comment": "", "curid": 1241323, "id": 1497489, "match_segment_pos": "名詞", "match_segment_surf": "また姪", "query": "また", "type": "OK"}
するとそこは死者|ばかり|が暮らす部落になっていた。	{"comment": "", "curid": 2026263, "id": 1518584, "match_segment_pos": "助詞", "match_segment_surf": "ばかり", "query": "ばかり", "type": "OK"}
ずーっとブラック・ミュージック|ばっかり|聴いてた。	{"comment": "", "curid": 2146345, "id": 1520163, "match_segment_pos": "助詞", "match_segment_surf": "ばっかり", "query": "ばっか", "type": "OK"}
そういうのが書きたくなっちゃって、|だけど|書けなくて。	{"comment": "", "curid": 1808966, "id": 1520553, "match_segment_pos": "接続詞", "match_segment_surf": "だけど", "query": "けど", "type": "OK"}
そうして|かさこそ|と笑い声を立てる。	{"comment": "", "curid": 1756706, "id": 1522187, "match_segment_pos": "副詞", "match_segment_surf": "かさこそ", "query": "こそ", "type": "OK"}
そうでなければ、望み|なんて|かなえられないの。	{"comment": "", "curid": 1409533, "id": 1523023, "match_segment_pos": "助詞", "match_segment_surf": "なんて", "query": "なんて", "type": "OK"}
そうなると、係助詞を使っても、文末を連体形|または|已然形で結ばない例も見られるようになる。	{"comment": "", "curid": 11, "id": 1523163, "match_segment_pos": "助詞", "match_segment_surf": "または", "query": "また", "type": "OK"}
そこで、なんと|江梨衣|に白羽の矢が立ち、急遽、江梨衣がボーカルをすることになり．．．．．．。	{"comment": "人名", "curid": 863673, "id": 1525075, "match_segment_pos": "名詞--名詞", "match_segment_surf": "江梨--衣", "query": "梨衣", "type": "NG_SEG"}
そこで、イエスはみことばをもって霊|ども|を追い出し、また病気の人々をみなお直しになった。	{"comment": "", "curid": 1799823, "id": 1525139, "match_segment_pos": "接尾辞", "match_segment_surf": "ども", "query": "ども", "type": "OK"}
そこで仲本は次々|と|てるてる坊主|を吊るしていくが、雨は一層強くなる。	{"comment": "", "curid": 69971, "id": 1529756, "match_segment_pos": "助詞--名詞", "match_segment_surf": "と--てるてる坊主", "query": "とて", "type": "OK"}
そこには変わり果てたキャサリン、長谷川泰三|そして|、たまの姿があった。	{"comment": "", "curid": 2812614, "id": 1534522, "match_segment_pos": "助詞", "match_segment_surf": "そして", "query": "そして", "type": "OK"}
そこは魔法が生き、|けもの|たちがしゃべり、神話的生き物や妖精の住む世界であった。	{"comment": "", "curid": 329820, "id": 1536890, "match_segment_pos": "名詞", "match_segment_surf": "けもの", "query": "けもの", "type": "OK"}
そこを掘り進めていくと、はたして壁、階段|そして|基礎が出土した。	{"comment": "", "curid": 409492, "id": 1538260, "match_segment_pos": "助詞", "match_segment_surf": "そして", "query": "そして", "type": "OK"}
そしたら、彼が|とてつもない|プレイをいきなり始めたんだ。	{"comment": "", "curid": 1141678, "id": 1538338, "match_segment_pos": "形容詞", "match_segment_surf": "とてつもない", "query": "とて", "type": "OK"}
そして|なんて|面白いんでしょう。	{"comment": "", "curid": 3283774, "id": 1554668, "match_segment_pos": "副詞", "match_segment_surf": "なんて", "query": "なんて", "type": "OK"}
そして、スタジアムに入る直前の頃には、ガイイはもはまともに走ることも|ままならなく|なった。	{"comment": "", "curid": 1460083, "id": 1545760, "match_segment_pos": "形容詞", "match_segment_surf": "ままならなく", "query": "まま", "type": "OK"}
そして、岩をくりぬいた|まま|で未完成の石窟も、いくつか発見されている。	{"comment": "", "curid": 891379, "id": 1548775, "match_segment_pos": "名詞--助詞", "match_segment_surf": "いたま--まで", "query": "まま", "type": "NG_SEG"}
そしてしばらくすると、妃はまた怒りだして夫をののしり始め、会おうと|すら|しなかった。	{"comment": "", "curid": 3139320, "id": 1553291, "match_segment_pos": "助詞", "match_segment_surf": "すら", "query": "すら", "type": "OK"}
そして言い訳|ばかり|している。	{"comment": "", "curid": 106764, "id": 1566698, "match_segment_pos": "助詞", "match_segment_surf": "ばかり", "query": "ばかり", "type": "OK"}
そして時次郎と珍念は正家たちに見送られながら、|また|旅に出ていった．．．．．．。	{"comment": "", "curid": 2324534, "id": 1563323, "match_segment_pos": "名詞", "match_segment_surf": "また旅", "query": "また", "type": "NG_SEG"}
そして彼女たちは|みな|あなた|の欲望をそそるような名器の持ち主である。	{"comment": "", "curid": 865130, "id": 1562245, "match_segment_pos": "副詞--名詞", "match_segment_surf": "みな--あなた", "query": "なあ", "type": "OK"}
そして落ちこぼれ|だ|けれど|馬が大好きだから必死にしがみついてゆく者。	{"comment": "", "curid": 1626254, "id": 1566465, "match_segment_pos": "判定詞--助詞", "match_segment_surf": "だ--けれど", "query": "だけ", "type": "OK"}
そっくりな顔の双子|だ|けれども|、性格は全然異なる２人。	{"comment": "", "curid": 1260840, "id": 1567986, "match_segment_pos": "判定詞--助詞", "match_segment_surf": "だ--けれども", "query": "だけ", "type": "OK"}
そのことで関係が複雑にならないように願う|ばかりだ|けど|、慎重にならないとね。	{"comment": "", "curid": 128948, "id": 1572561, "match_segment_pos": "助動詞--助詞", "match_segment_surf": "ばかりだ--けど", "query": "だけ", "type": "OK"}
そのため、|広報?はままつ|では塚は点が入った字で表記されている。	{"comment": "", "curid": 958698, "id": 1582395, "match_segment_pos": "接頭辞--名詞", "match_segment_surf": "ま--まつ", "query": "まま", "type": "NG_SEG"}
そのため、スリクリーンは死を恐れず、惰弱な|まま|で忘れ去られるよりは死を選ぶ。	{"comment": "", "curid": 3044880, "id": 1577297, "match_segment_pos": "名詞--助詞", "match_segment_surf": "なま--まで", "query": "まま", "type": "NG_SEG"}
そのため、左から右へ、|また|上から下へ行くにつれて原子番号が大きな元素が並ぶ。	{"comment": "", "curid": 2783, "id": 1582234, "match_segment_pos": "名詞", "match_segment_surf": "また上", "query": "また", "type": "NG_SEG"}
そのため飼育下で|おたまじゃくし|から変態させた幼体を飼育することは、かなりの技術を要する。	{"comment": "", "curid": 189609, "id": 1597708, "match_segment_pos": "名詞", "match_segment_surf": "おたまじゃくし", "query": "じゃ", "type": "OK"}
そのような強烈な魅力の|ほど|も|、多数の芝居絵によって我々は知ることが出来うる。	{"comment": "", "curid": 2138402, "id": 1603392, "match_segment_pos": "名詞--助詞", "match_segment_surf": "ほど--も", "query": "ども", "type": "OK"}
その影響は能のみ|なら|ず、狂言・浄瑠璃の芸論にも及んでいる。	{"comment": "", "curid": 62544, "id": 1642677, "match_segment_pos": "動詞", "match_segment_surf": "なら", "query": "なら", "type": "OK"}
その後、|まど|も|祖父のもとを離れて台湾へ渡った。	{"comment": "", "curid": 641004, "id": 1654298, "match_segment_pos": "名詞--助詞", "match_segment_surf": "まど--も", "query": "ども", "type": "OK"}
その後に改名はなく、現在もドン・フジイの|まま|である。	{"comment": "", "curid": 372483, "id": 1685594, "match_segment_pos": "形容詞", "match_segment_surf": "イのままである", "query": "まま", "type": "NG_SEG"}
その後のある朝、|梨衣子|の元に大きな荷物が届き、箱を開くと中には裸の美青年が入っていた。	{"comment": "人名", "curid": 1353516, "id": 1686229, "match_segment_pos": "名詞--名詞", "match_segment_surf": "梨--衣子", "query": "梨衣", "type": "NG_SEG"}
その後は倒されるまでもなく|いつのまにか|い|なくなっていた。	{"comment": "", "curid": 1038142, "id": 1692028, "match_segment_pos": "副詞--動詞", "match_segment_surf": "いつのまにか--い", "query": "かい", "type": "OK"}
その後コンニャクを麺に使ったスープパスタ|や|らーめん|缶を開発した。	{"comment": "", "curid": 856857, "id": 1703142, "match_segment_pos": "助詞--名詞", "match_segment_surf": "や--らーめん", "query": "やら", "type": "OK"}
その事故で、池谷は首の|ねんざ|と腰の打撲で軽傷を負った。	{"comment": "", "curid": 152835, "id": 1614792, "match_segment_pos": "名詞", "match_segment_surf": "ねんざ", "query": "ねん", "type": "OK"}
その自主規制|すら|ネタとして使われる場合がある。	{"comment": "", "curid": 920820, "id": 1741387, "match_segment_pos": "助詞", "match_segment_surf": "すら", "query": "すら", "type": "OK"}
その場で決まった|んだ|けど|、そのとき、スタッフは全然知らなかったんですよ。	{"comment": "", "curid": 489763, "id": 1634521, "match_segment_pos": "助動詞--助詞", "match_segment_surf": "んだ--けど", "query": "だけ", "type": "OK"}
その深さは明らかではないが、いくつかの研究では、５００ｋｍ|か|もっと|深かったことが示唆されている。	{"comment": "", "curid": 2677905, "id": 1728701, "match_segment_pos": "助詞--副詞", "match_segment_surf": "か--もっと", "query": "かも", "type": "OK"}
その代わり、曲は専門的な知識とか才能が|必要だ|って|思い込みがあったんですけどね。	{"comment": "", "curid": 2002, "id": 1625467, "match_segment_pos": "形容詞--助詞", "match_segment_surf": "必要だ--って", "query": "だって", "type": "OK"}
その肉はひどく苦く、食すことも|ままならない|ので、角とアストラガロスのためだけに狩られる。	{"comment": "", "curid": 14792, "id": 1741005, "match_segment_pos": "形容詞", "match_segment_surf": "ままならない", "query": "まま", "type": "OK"}
その目的は違う|けれども|、システムイメージはコアダンプに構造がよく類似している。	{"comment": "", "curid": 822415, "id": 1732680, "match_segment_pos": "助詞", "match_segment_surf": "けれども", "query": "ども", "type": "OK"}
それが|ひとしきり|終わると、再び提示部と同じように第１主題が再現する。	{"comment": "", "curid": 124476, "id": 1758045, "match_segment_pos": "副詞", "match_segment_surf": "ひとしきり", "query": "きり", "type": "OK"}
それでお前出家名何|ちゅう|ねん|。	{"comment": "方言", "curid": 1847189, "id": 1763100, "match_segment_pos": "名詞", "match_segment_surf": "ちゅうねん", "query": "ねん", "type": "NG_SEG"}
それに先立ち日中には|こきりこ|唄素人のど自慢コンクール、こきりこ踊りの講習会なども行われる。	{"comment": "", "curid": 1063406, "id": 1770080, "match_segment_pos": "名詞", "match_segment_surf": "こきりこ", "query": "きり", "type": "OK"}
それに比べて下女のお初は、|しどころ|の多い役といえる。	{"comment": "", "curid": 2633801, "id": 1771547, "match_segment_pos": "名詞", "match_segment_surf": "しどころ", "query": "どころ", "type": "OK"}
それは|おだやかじゃ|ない。	{"comment": "", "curid": 1476945, "id": 1773604, "match_segment_pos": "形容詞", "match_segment_surf": "おだやかじゃ", "query": "じゃ", "type": "OK"}
それも白昼路上で行う|など|もってのほか|。	{"comment": "", "curid": 146782, "id": 1779561, "match_segment_pos": "助詞--形容詞", "match_segment_surf": "など--もってのほか", "query": "ども", "type": "OK"}
